,Studies,Action,Log_hrs,Study_hrs
7799,37421,Non-curation  ,1,258.75
7747,37421,Non-curation  ,1.5,258.75
7749,37421,Non-curation  ,1.5,258.75
7750,37421,Quality-checks  ,8,258.75
7755,37421,Quality-checks  ,8,258.75
7774,37421,Non-curation  ,1,258.75
7748,37421,Quality-checks  ,8,258.75
7796,37421,Non-curation  ,8,258.75
7813,37421,Quality-checks  ,2,258.75
7775,37421,Non-curation  ,8,258.75
7804,37421,Quality-checks  ,0.5,258.75
7773,37421,Initial-review-and-planning  ,1,258.75
7756,37421,Quality-checks  ,8,258.75
7772,37421,Non-curation  ,8,258.75
7758,37421,Metadata-study-level  ,,258.75
7770,37421,Quality-checks  ,7.5,258.75
7797,37421,Metadata-study-level  ,2,258.75
7768,37421,Non-curation  ,1,258.75
7757,37421,Metadata-study-level  ,1,258.75
7762,37421,Quality-checks  ,3,258.75
7763,37421,Communication-for-study  ,0.5,258.75
7753,37421,Non-curation  ,1.5,258.75
7765,37421,Non-curation  ,8,258.75
7771,37421,Non-curation  ,1,258.75
7767,37421,Quality-checks  ,8,258.75
7761,37421,Quality-checks  ,1,258.75
7754,37421,Communication-for-study  ,0.5,258.75
7760,37421,Non-curation  ,8,258.75
7759,37421,Non-curation  ,0.75,258.75
7769,37421,Non-curation  ,7,258.75
7794,37421,Non-curation  ,2,258.75
7798,37421,Quality-checks  ,8,258.75
7807,37421,Non-curation  ,8,258.75
7788,37421,Non-curation  ,1,258.75
7789,37421,Non-curation  ,8,258.75
7800,37421,Quality-checks  ,3,258.75
7766,37421,Non-curation  ,2,258.75
7779,37421,Metadata-study-level  ,2,258.75
7791,37421,Non-curation  ,8,258.75
7790,37421,Non-curation  ,1.5,258.75
7785,37421,Non-curation  ,1,258.75
7786,37421,Non-curation  ,1.5,258.75
7792,37421,Non-curation  ,2,258.75
7764,37421,Initial-review-and-planning  ,8,258.75
7784,37421,Non-curation  ,1.5,258.75
7783,37421,Initial-review-and-planning  ,8,258.75
7782,37421,Non-curation  ,1.5,258.75
7778,37421,Communication-for-study  ,2,258.75
7781,37421,Quality-checks  ,3.5,258.75
7793,37421,Non-curation  ,1,258.75
7776,37421,Transformation-of-data  ,8,258.75
7795,37421,Non-curation  ,1,258.75
7777,37421,Metadata-study-level  ,2,258.75
7803,37421,Transformation-of-data  ,8,258.75
7805,37421,Transformation-of-data  ,8,258.75
7810,37421,Quality-checks  ,2,258.75
7811,37421,Non-curation  ,8,258.75
7808,37421,Non-curation  ,8,258.75
7812,37421,Quality-checks  ,3,258.75
7802,37421,Quality-checks  ,1,258.75
7809,37421,Non-curation  ,2,258.75
7801,37421,Quality-checks  ,2,258.75
7780,37421,Metadata-study-level  ,1.5,258.75
7806,37421,Quality-checks  ,2,258.75
7787,37421,Non-curation  ,2,258.75
7826,37513,Initial-review-and-planning  ,1,73
7816,37513,Quality-checks  ,7,73
7817,37513,Transformation-of-data  ,4,73
7814,37513,Quality-checks  ,2,73
7828,37513,Initial-review-and-planning  ,2,73
7827,37513,Initial-review-and-planning  ,2,73
7820,37513,Initial-review-and-planning  ,4,73
7819,37513,Transformation-of-data  ,8,73
7823,37513,Non-curation  ,8,73
7824,37513,Transformation-of-data  ,4,73
7825,37513,Quality-checks  ,5,73
7818,37513,Quality-checks  ,8,73
7815,37513,Initial-review-and-planning  ,,73
7821,37513,Quality-checks  ,8,73
7822,37513,Initial-review-and-planning  ,2,73
7835,s02018,Quality-checks  ,4,26.5
7834,s02018,Non-curation  ,,26.5
7831,s02018,Quality-checks  ,,26.5
7832,s02018,Quality-checks  ,,26.5
7833,s02018,Non-curation  ,,26.5
7830,s02018,Quality-checks  ,1,26.5
7829,s02018,Initial-review-and-planning  ,7,26.5
7843,s02957,Other  ,5,47
7838,s02957,Non-curation  ,3,47
7839,s02957,Non-curation  ,2,47
7840,s02957,Non-curation  ,8,47
7844,s02957,Transformation-of-data  ,8,47
7842,s02957,Initial-review-and-planning  ,7,47
7837,s02957,Non-curation  ,8,47
7841,s02957,Non-curation  ,5,47
7836,s02957,Non-curation  ,1,47
96,s03724,Quality-checks  ,4,133.25
72,s03724,Transformation-of-data  ,0.5,133.25
73,s03724,Initial-review-and-planning  ,4.5,133.25
74,s03724,Other  ,4,133.25
81,s03724,Metadata-study-level  ,1.25,133.25
76,s03724,Quality-checks  ,3,133.25
77,s03724,Transformation-of-data  ,1.5,133.25
78,s03724,Documentation  ,1.5,133.25
79,s03724,Quality-checks  ,4.5,133.25
80,s03724,Communication-for-study  ,3.5,133.25
99,s03724,Documentation  ,2.5,133.25
100,s03724,Quality-checks  ,8,133.25
70,s03724,Initial-review-and-planning  ,4,133.25
53,s03724,Quality-checks  ,2.666666667,133.25
83,s03724,Quality-checks  ,3.5,133.25
97,s03724,Documentation  ,1.5,133.25
101,s03724,Documentation  ,4,133.25
67,s03724,Quality-checks  ,4,133.25
84,s03724,Documentation  ,0.5,133.25
98,s03724,Metadata-study-level  ,3,133.25
52,s03724,Quality-checks  ,2.25,133.25
71,s03724,Quality-checks  ,0.25,133.25
75,s03724,Non-curation  ,4,133.25
69,s03724,Communication-for-study  ,1.25,133.25
82,s03724,Quality-checks  ,4.75,133.25
55,s03724,Non-curation  ,0.25,133.25
54,s03724,Quality-checks  ,1,133.25
87,s03724,Transformation-of-data  ,1,133.25
88,s03724,Documentation  ,3.5,133.25
90,s03724,Initial-review-and-planning  ,3.5,133.25
95,s03724,Documentation  ,4.75,133.25
92,s03724,Initial-review-and-planning  ,1.5,133.25
93,s03724,Documentation  ,0.5,133.25
94,s03724,Non-curation  ,1.5,133.25
89,s03724,Transformation-of-data  ,4.5,133.25
85,s03724,Transformation-of-data  ,3.25,133.25
62,s03724,Quality-checks  ,3.5,133.25
61,s03724,Quality-checks  ,1.25,133.25
86,s03724,Quality-checks  ,4.5,133.25
57,s03724,Quality-checks  ,0.5,133.25
56,s03724,Initial-review-and-planning  ,3,133.25
91,s03724,Transformation-of-data  ,0.75,133.25
64,s03724,Quality-checks  ,0.333333333,133.25
63,s03724,Quality-checks  ,4,133.25
66,s03724,Quality-checks  ,3,133.25
58,s03724,Transformation-of-data  ,4.25,133.25
60,s03724,Quality-checks  ,4,133.25
59,s03724,Quality-checks  ,1.5,133.25
68,s03724,Quality-checks  ,1,133.25
65,s03724,Non-curation  ,2,133.25
111,s07048,Transformation-of-data  ,6,132.35
116,s07048,Quality-checks  ,4,132.35
113,s07048,Transformation-of-data  ,6.25,132.35
114,s07048,Documentation  ,5.5,132.35
126,s07048,Quality-checks  ,5,132.35
112,s07048,Quality-checks  ,3,132.35
118,s07048,Quality-checks  ,4.5,132.35
115,s07048,Quality-checks  ,1,132.35
110,s07048,Quality-checks  ,6.2,132.35
124,s07048,Initial-review-and-planning  ,3,132.35
125,s07048,Transformation-of-data  ,,132.35
109,s07048,Other  ,,132.35
107,s07048,Quality-checks  ,,132.35
119,s07048,Non-curation  ,,132.35
117,s07048,Transformation-of-data  ,8,132.35
131,s07048,Transformation-of-data  ,,132.35
120,s07048,Non-curation  ,6.5,132.35
130,s07048,Initial-review-and-planning  ,4.5,132.35
102,s07048,Other  ,0.333333333,132.35
127,s07048,Initial-review-and-planning  ,1,132.35
128,s07048,Initial-review-and-planning  ,,132.35
108,s07048,Quality-checks  ,4.5,132.35
122,s07048,Communication-for-study  ,0.5,132.35
129,s07048,Initial-review-and-planning  ,2,132.35
103,s07048,Quality-checks  ,,132.35
104,s07048,Initial-review-and-planning  ,4,132.35
123,s07048,Initial-review-and-planning  ,,132.35
121,s07048,Transformation-of-data  ,0.066666667,132.35
105,s07048,Quality-checks  ,3,132.35
106,s07048,Transformation-of-data  ,1,132.35
146,s17,Transformation-of-data  ,1,49.5
133,s17,Initial-review-and-planning  ,0.5,49.5
144,s17,Transformation-of-data  ,2,49.5
143,s17,Other  ,0.5,49.5
139,s17,Quality-checks  ,2,49.5
149,s17,Quality-checks  ,1,49.5
148,s17,Quality-checks  ,2,49.5
147,s17,Initial-review-and-planning  ,2,49.5
141,s17,Transformation-of-data  ,2.5,49.5
142,s17,Transformation-of-data  ,2.5,49.5
137,s17,Transformation-of-data  ,2,49.5
136,s17,Documentation  ,2,49.5
135,s17,Transformation-of-data  ,2,49.5
134,s17,Quality-checks  ,2,49.5
132,s17,Other  ,2,49.5
140,s17,Communication-for-study  ,4.5,49.5
150,s17,Metadata-study-level  ,2,49.5
138,s17,Transformation-of-data  ,2,49.5
145,s17,Transformation-of-data  ,1,49.5
151,s20022,Initial-review-and-planning  ,0.25,37.75
152,s20022,Quality-checks  ,0.5,37.75
153,s20541,Metadata-study-level  ,1.5,124
185,s20541,Quality-checks  ,8,124
7858,s20541,Quality-checks  ,5,64.5
7848,s20541,Quality-checks  ,5,64.5
182,s20541,Initial-review-and-planning  ,2,124
7860,s20541,Initial-review-and-planning  ,8,64.5
176,s20541,Initial-review-and-planning  ,4,124
7859,s20541,Quality-checks  ,,64.5
7850,s20541,Quality-checks  ,3,64.5
7852,s20541,Initial-review-and-planning  ,8,64.5
155,s20541,Quality-checks  ,4,124
184,s20541,Quality-checks  ,7,124
7857,s20541,Documentation  ,1,64.5
7849,s20541,Communication-for-study  ,1.5,64.5
166,s20541,Other  ,6.5,124
7855,s20541,Transformation-of-data  ,,64.5
7856,s20541,Documentation  ,3,64.5
190,s20541,Non-curation  ,4,124
189,s20541,Non-curation  ,1,124
188,s20541,Non-curation  ,4,124
187,s20541,Initial-review-and-planning  ,8,124
186,s20541,Documentation  ,5.5,124
154,s20541,Quality-checks  ,2.5,124
183,s20541,Quality-checks  ,1,124
7853,s20541,Quality-checks  ,0.5,64.5
7847,s20541,Quality-checks  ,1,64.5
7854,s20541,Quality-checks  ,3,64.5
163,s20541,Metadata-study-level  ,4,75
172,s20541,Communication-for-study  ,5,124
173,s20541,Quality-checks  ,4,124
180,s20541,Non-curation  ,1,124
167,s20541,Quality-checks  ,8,124
179,s20541,Quality-checks  ,1.5,124
164,s20541,Non-curation  ,2,124
165,s20541,Non-curation  ,4,124
7845,s20541,Initial-review-and-planning  ,7,64.5
170,s20541,Quality-checks  ,2.5,124
7851,s20541,Other  ,2,64.5
174,s20541,Non-curation  ,0.5,124
156,s20541,Non-curation  ,1,124
177,s20541,Non-curation  ,0.5,124
175,s20541,Quality-checks  ,4,124
7846,s20541,Initial-review-and-planning  ,8,64.5
178,s20541,Non-curation  ,1,124
169,s20541,Non-curation  ,1,124
168,s20541,Other  ,2,124
162,s20541,Non-curation  ,3,124
161,s20541,Quality-checks  ,2,124
160,s20541,Quality-checks  ,2,124
159,s20541,Non-curation  ,2,124
158,s20541,Communication-for-study  ,1,124
157,s20541,Non-curation  ,3,124
171,s20541,Transformation-of-data  ,8,124
181,s20541,Documentation  ,3,124
197,s21600,Documentation  ,1.5,9
196,s21600,Quality-checks  ,0.5,9
193,s21600,Quality-checks  ,,9
194,s21600,Quality-checks  ,0.5,9
195,s21600,Documentation  ,1.5,9
192,s21600,Documentation  ,3.5,9
191,s21600,Quality-checks  ,1,9
7866,s22100,Initial-review-and-planning  ,,60.5
7867,s22100,Quality-checks  ,4.5,60.5
7868,s22100,Documentation  ,2.5,60.5
7864,s22100,Non-curation  ,0.5,60.5
7863,s22100,Documentation  ,,60.5
7871,s22100,Quality-checks  ,1,60.5
7879,s22100,Initial-review-and-planning  ,7,60.5
7862,s22100,Quality-checks  ,,60.5
7870,s22100,Quality-checks  ,1.5,60.5
7869,s22100,Initial-review-and-planning  ,7,60.5
7865,s22100,Initial-review-and-planning  ,,60.5
7873,s22100,Non-curation  ,,60.5
7877,s22100,Non-curation  ,2.5,60.5
7878,s22100,Communication-for-study  ,6,60.5
7875,s22100,Non-curation  ,0.5,60.5
7874,s22100,Quality-checks  ,3,60.5
7861,s22100,Quality-checks  ,1.5,60.5
7872,s22100,Transformation-of-data  ,2.5,60.5
7876,s22100,Transformation-of-data  ,7,60.5
203,s22626,Quality-checks  ,0.083333333,2.5
202,s22626,Communication-for-study  ,0.5,2.5
199,s22626,Quality-checks  ,0.166666667,2.5
201,s22626,Initial-review-and-planning  ,1,2.5
200,s22626,Quality-checks  ,0.5,2.5
198,s22626,Quality-checks  ,,2.5
204,s22760,Metadata-study-level  ,0.5,0.5
7885,s23420,Transformation-of-data  ,4,84
7880,s23420,Non-curation  ,8,84
7887,s23420,Quality-checks  ,5,84
7890,s23420,Communication-for-study  ,3,84
7888,s23420,Initial-review-and-planning  ,0.5,84
7891,s23420,Documentation  ,3,84
7886,s23420,Documentation  ,7,84
7881,s23420,Initial-review-and-planning  ,5,84
7882,s23420,Documentation  ,6.5,84
206,s23420,Communication-for-study  ,5.5,90.5
7894,s23420,Non-curation  ,3.5,84
7883,s23420,Transformation-of-data  ,8,84
205,s23420,Quality-checks  ,1,90.5
7889,s23420,Communication-for-study  ,4,84
7893,s23420,Quality-checks  ,7.5,84
7884,s23420,Non-curation  ,8,84
7892,s23420,Documentation  ,3,84
7895,s23420,Documentation  ,8,84
7905,s2420,Initial-review-and-planning  ,1,30.5
7898,s2420,Transformation-of-data  ,1,30.5
7899,s2420,Quality-checks  ,4,30.5
7901,s2420,Non-curation  ,2,30.5
7900,s2420,Initial-review-and-planning  ,8,30.5
7902,s2420,Transformation-of-data  ,1,30.5
7903,s2420,Quality-checks  ,1,30.5
7897,s2420,Initial-review-and-planning  ,6.5,30.5
7896,s2420,Communication-for-study  ,3.5,30.5
7904,s2420,Quality-checks  ,2.5,30.5
207,s24642,Quality-checks  ,2,2
216,s26343,Quality-checks  ,1,149
219,s26343,Quality-checks  ,6,149
231,s26343,Quality-checks  ,4.5,149
232,s26343,Quality-checks  ,1,149
229,s26343,Quality-checks  ,3,149
221,s26343,Quality-checks  ,0.5,149
223,s26343,Quality-checks  ,0.5,149
224,s26343,Quality-checks  ,2,149
234,s26343,Documentation  ,8.5,149
227,s26343,Communication-for-study  ,8.5,149
228,s26343,Transformation-of-data  ,8.5,149
233,s26343,Non-curation  ,7.5,149
222,s26343,Non-curation  ,1.5,149
235,s26343,Quality-checks  ,3.5,149
226,s26343,Quality-checks  ,2,149
236,s26343,Quality-checks  ,0.5,149
230,s26343,Transformation-of-data  ,4,149
238,s26343,Quality-checks  ,8,149
213,s26343,Quality-checks  ,3,149
215,s26343,Initial-review-and-planning  ,0.5,149
225,s26343,Transformation-of-data  ,9.5,149
237,s26343,Quality-checks  ,3,149
208,s26343,Transformation-of-data  ,6,149
210,s26343,Quality-checks  ,0.5,149
209,s26343,Transformation-of-data  ,7.5,149
214,s26343,Documentation  ,6,149
212,s26343,Quality-checks  ,1.5,149
218,s26343,Quality-checks  ,1,149
220,s26343,Transformation-of-data  ,5.5,149
211,s26343,Initial-review-and-planning  ,8.5,149
239,s26343,Quality-checks  ,8.5,149
217,s26343,Transformation-of-data  ,8.5,149
240,s26343,Metadata-study-level  ,8.5,149
7913,s26722,Quality-checks  ,8.5,116.5
7918,s26722,Other  ,0.5,116.5
7916,s26722,Quality-checks  ,8.5,116.5
7912,s26722,Quality-checks  ,,116.5
7911,s26722,Quality-checks  ,6,116.5
7909,s26722,Quality-checks  ,5.5,116.5
7908,s26722,Quality-checks  ,4.5,116.5
7906,s26722,Quality-checks  ,8.5,116.5
7917,s26722,Quality-checks  ,2.5,116.5
7907,s26722,Quality-checks  ,0.5,116.5
7924,s26722,Non-curation  ,,116.5
7914,s26722,Initial-review-and-planning  ,,116.5
7931,s26722,Initial-review-and-planning  ,,116.5
7921,s26722,Quality-checks  ,2.5,116.5
7930,s26722,Transformation-of-data  ,7,116.5
7910,s26722,Quality-checks  ,8.5,116.5
7919,s26722,Quality-checks  ,,116.5
7927,s26722,Metadata-study-level  ,,116.5
7929,s26722,Transformation-of-data  ,,116.5
7928,s26722,Non-curation  ,,116.5
7915,s26722,Quality-checks  ,1,116.5
7920,s26722,Non-curation  ,3.5,116.5
7925,s26722,Transformation-of-data  ,1.5,116.5
7926,s26722,Quality-checks  ,8.5,116.5
7923,s26722,Initial-review-and-planning  ,,116.5
7922,s26722,Initial-review-and-planning  ,1,116.5
7933,s26962,Non-curation  ,4,11
7932,s26962,Transformation-of-data  ,4,11
259,s27001,Quality-checks  ,1.166666667,29
258,s27001,Quality-checks  ,3,29
257,s27001,Non-curation  ,,29
256,s27001,Documentation  ,1.583333333,29
255,s27001,Documentation  ,2.916666667,29
253,s27001,Initial-review-and-planning  ,,29
254,s27001,Documentation  ,0.166666667,29
250,s27001,Quality-checks  ,0.583333333,29
252,s27001,Quality-checks  ,0.666666667,29
260,s27001,Transformation-of-data  ,1.833333333,29
249,s27001,Initial-review-and-planning  ,1,29
248,s27001,Quality-checks  ,0.5,29
247,s27001,Initial-review-and-planning  ,1.5,29
246,s27001,Documentation  ,3.75,29
245,s27001,Communication-for-study  ,1.5,29
244,s27001,Quality-checks  ,2.666666667,29
243,s27001,Non-curation  ,1,29
242,s27001,Documentation  ,0.5,29
241,s27001,Initial-review-and-planning  ,0.5,29
251,s27001,Non-curation  ,1.666666667,29
7947,s2760,Initial-review-and-planning  ,7.5,38
7957,s2760,Initial-review-and-planning  ,8,16.5
266,s2760,Metadata-study-level  ,,145.5
279,s2760,Quality-checks  ,,145.5
7956,s2760,Quality-checks  ,0.5,38
7939,s2760,Transformation-of-data  ,8,38
7940,s2760,Quality-checks  ,0.5,7.5
261,s2760,Quality-checks  ,4,145.5
278,s2760,Initial-review-and-planning  ,3,145.5
273,s2760,Transformation-of-data  ,,145.5
274,s2760,Transformation-of-data  ,8.5,145.5
7955,s2760,Quality-checks  ,5.5,38
7952,s2760,Transformation-of-data  ,2,16.5
7953,s2760,Documentation  ,3.5,38
7944,s2760,Quality-checks  ,0.5,38
7943,s2760,Quality-checks  ,2.5,16.5
7949,s2760,Quality-checks  ,0.5,38
7948,s2760,Transformation-of-data  ,3,38
276,s2760,Quality-checks  ,2,145.5
272,s2760,Metadata-study-level  ,,145.5
7954,s2760,Communication-for-study  ,1,16.5
7942,s2760,Other  ,1.5,16.5
7945,s2760,Quality-checks  ,0.5,38
7950,s2760,Quality-checks  ,1.5,16.5
7934,s2760,Communication-for-study  ,1,38
7941,s2760,Quality-checks  ,1,38
271,s2760,Non-curation  ,4,145.5
267,s2760,Non-curation  ,8,145.5
269,s2760,Non-curation  ,,145.5
7938,s2760,Quality-checks  ,,38
282,s2760,Quality-checks  ,,145.5
291,s2760,Initial-review-and-planning  ,1,145.5
7946,s2760,Quality-checks  ,1.5,38
289,s2760,Transformation-of-data  ,1.5,145.5
286,s2760,Metadata-study-level  ,7,145.5
283,s2760,Quality-checks  ,5,145.5
7951,s2760,Initial-review-and-planning  ,0.5,38
290,s2760,Metadata-study-level  ,,145.5
280,s2760,Quality-checks  ,,145.5
285,s2760,Quality-checks  ,4,145.5
7935,s2760,Quality-checks  ,2.5,38
270,s2760,Transformation-of-data  ,8,145.5
7937,s2760,Quality-checks  ,1,38
287,s2760,Quality-checks  ,3.5,145.5
262,s2760,Quality-checks  ,,145.5
7936,s2760,Quality-checks  ,0.5,38
264,s2760,Transformation-of-data  ,,145.5
263,s2760,Transformation-of-data  ,,145.5
284,s2760,Quality-checks  ,1,145.5
281,s2760,Quality-checks  ,1,145.5
288,s2760,Quality-checks  ,,145.5
277,s2760,Quality-checks  ,1,145.5
275,s2760,Quality-checks  ,7,145.5
265,s2760,Documentation  ,7.5,145.5
268,s2760,Quality-checks  ,,145.5
293,s27869,Non-curation  ,2,28.75
294,s27869,Quality-checks  ,,28.75
299,s27869,Initial-review-and-planning  ,2,28.75
297,s27869,Quality-checks  ,3,28.75
292,s27869,Initial-review-and-planning  ,,28.75
295,s27869,Non-curation  ,,28.75
296,s27869,Quality-checks  ,,28.75
298,s27869,Documentation  ,1.5,28.75
300,s27869,Metadata-study-level  ,3.25,28.75
303,s28683,Quality-checks  ,3,67
309,s28683,Communication-for-study  ,8,67
304,s28683,Quality-checks  ,1.5,67
305,s28683,Transformation-of-data  ,8,67
302,s28683,Quality-checks  ,1.5,67
301,s28683,Non-curation  ,8,67
314,s28683,Initial-review-and-planning  ,8,67
308,s28683,Transformation-of-data  ,8,67
311,s28683,Quality-checks  ,3,67
310,s28683,Quality-checks  ,2,67
313,s28683,Other  ,1,67
315,s28683,Other  ,3,67
307,s28683,Documentation  ,1.5,67
316,s28683,Quality-checks  ,1.5,67
312,s28683,Quality-checks  ,8,67
306,s28683,Quality-checks  ,1,67
7959,s28762,Initial-review-and-planning  ,1,211.5833333
7960,s28762,Quality-checks  ,4,211.5833333
7975,s28762,Transformation-of-data  ,,211.5833333
317,s28762,Transformation-of-data  ,,54.8
7973,s28762,Metadata-study-level  ,1,211.5833333
7966,s28762,Transformation-of-data  ,1,211.5833333
7958,s28762,Transformation-of-data  ,8,211.5833333
7962,s28762,Quality-checks  ,0.083333333,211.5833333
7964,s28762,Other  ,0.5,211.5833333
7961,s28762,Quality-checks  ,6,211.5833333
7986,s28762,Initial-review-and-planning  ,8,211.5833333
7974,s28762,Non-curation  ,,211.5833333
7993,s28762,Non-curation  ,4.5,211.5833333
7965,s28762,Non-curation  ,8,211.5833333
7963,s28762,Quality-checks  ,2,211.5833333
7988,s28762,Documentation  ,5,211.5833333
7985,s28762,Initial-review-and-planning  ,0.5,211.5833333
7968,s28762,Non-curation  ,1.5,211.5833333
7991,s28762,Initial-review-and-planning  ,1,211.5833333
7983,s28762,Non-curation  ,1.5,211.5833333
7992,s28762,Non-curation  ,8,211.5833333
7990,s28762,Quality-checks  ,6.5,211.5833333
