STUDY,ACTION_LABEL,LOG_HRS,STUDY_HRS
37346,Quality-checks,0.5,62.5
37346,Transformation-of-data,5.5,62.5
37346,Documentation,8.0,62.5
37421,Non-curation,2.0,258.75
37421,Non-curation,8.0,258.75
37421,Non-curation,1.0,258.75
37421,Non-curation,1.5,258.75
37421,Non-curation,1.5,258.75
37421,Quality-checks,8.0,258.75
37421,Quality-checks,8.0,258.75
37421,Non-curation,1.0,258.75
37421,Quality-checks,8.0,258.75
37421,Non-curation,8.0,258.75
37421,Quality-checks,2.0,258.75
37421,Non-curation,8.0,258.75
37421,Quality-checks,0.5,258.75
37421,Initial-review-and-planning,1.0,258.75
37421,Quality-checks,8.0,258.75
37421,Non-curation,8.0,258.75
37421,Metadata-study-level,,258.75
37421,Quality-checks,7.5,258.75
37421,Metadata-study-level,2.0,258.75
37421,Non-curation,1.0,258.75
37421,Metadata-study-level,1.0,258.75
37421,Quality-checks,3.0,258.75
37421,Communication-for-study,0.5,258.75
37421,Non-curation,1.5,258.75
37421,Non-curation,8.0,258.75
37421,Non-curation,1.0,258.75
37421,Quality-checks,8.0,258.75
37421,Quality-checks,1.0,258.75
37421,Communication-for-study,0.5,258.75
37421,Non-curation,8.0,258.75
37421,Non-curation,0.75,258.75
37421,Non-curation,7.0,258.75
37421,Non-curation,2.0,258.75
37421,Quality-checks,8.0,258.75
37421,Non-curation,8.0,258.75
37421,Non-curation,1.0,258.75
37421,Non-curation,8.0,258.75
37421,Quality-checks,3.0,258.75
37421,Non-curation,2.0,258.75
37421,Metadata-study-level,2.0,258.75
37421,Non-curation,8.0,258.75
37421,Non-curation,1.5,258.75
37421,Non-curation,1.0,258.75
37421,Non-curation,1.5,258.75
37421,Non-curation,2.0,258.75
37421,Initial-review-and-planning,8.0,258.75
37421,Non-curation,1.5,258.75
37421,Initial-review-and-planning,8.0,258.75
37421,Non-curation,1.5,258.75
37421,Communication-for-study,2.0,258.75
37421,Quality-checks,3.5,258.75
37421,Non-curation,1.0,258.75
37421,Transformation-of-data,8.0,258.75
37421,Non-curation,1.0,258.75
37421,Metadata-study-level,2.0,258.75
37421,Transformation-of-data,8.0,258.75
37421,Transformation-of-data,8.0,258.75
37421,Quality-checks,2.0,258.75
37421,Non-curation,8.0,258.75
37421,Non-curation,8.0,258.75
37421,Quality-checks,3.0,258.75
37421,Quality-checks,1.0,258.75
37421,Non-curation,2.0,258.75
37421,Quality-checks,2.0,258.75
37421,Metadata-study-level,1.5,258.75
37421,Quality-checks,2.0,258.75
37421,Non-curation,2.0,258.75
37513,Initial-review-and-planning,1.0,73.0
37513,Quality-checks,7.0,73.0
37513,Transformation-of-data,4.0,73.0
37513,Quality-checks,2.0,73.0
37513,Initial-review-and-planning,2.0,73.0
37513,Initial-review-and-planning,2.0,73.0
37513,Initial-review-and-planning,4.0,73.0
37513,Transformation-of-data,8.0,73.0
37513,Non-curation,8.0,73.0
37513,Transformation-of-data,4.0,73.0
37513,Quality-checks,5.0,73.0
37513,Quality-checks,8.0,73.0
37513,Initial-review-and-planning,,73.0
37513,Quality-checks,8.0,73.0
37513,Initial-review-and-planning,2.0,73.0
2018,Quality-checks,4.0,26.5
2018,Non-curation,,26.5
2018,Quality-checks,,26.5
2018,Quality-checks,,26.5
2018,Non-curation,,26.5
2018,Quality-checks,1.0,26.5
2018,Initial-review-and-planning,7.0,26.5
2957,Other,5.0,47.0
2957,Non-curation,3.0,47.0
2957,Non-curation,2.0,47.0
2957,Non-curation,8.0,47.0
2957,Transformation-of-data,8.0,47.0
2957,Initial-review-and-planning,7.0,47.0
2957,Non-curation,8.0,47.0
2957,Non-curation,5.0,47.0
2957,Non-curation,1.0,47.0
3724,Quality-checks,4.0,133.25
3724,Transformation-of-data,0.5,133.25
3724,Initial-review-and-planning,4.5,133.25
3724,Other,4.0,133.25
3724,Metadata-study-level,1.25,133.25
3724,Quality-checks,3.0,133.25
3724,Transformation-of-data,1.5,133.25
3724,Documentation,1.5,133.25
3724,Quality-checks,4.5,133.25
3724,Communication-for-study,3.5,133.25
3724,Documentation,2.5,133.25
3724,Quality-checks,8.0,133.25
3724,Initial-review-and-planning,4.0,133.25
3724,Quality-checks,2.6666666666666665,133.25
3724,Quality-checks,3.5,133.25
3724,Documentation,1.5,133.25
3724,Documentation,4.0,133.25
3724,Quality-checks,4.0,133.25
3724,Documentation,0.5,133.25
3724,Metadata-study-level,3.0,133.25
3724,Quality-checks,2.25,133.25
3724,Quality-checks,0.25,133.25
3724,Non-curation,4.0,133.25
3724,Communication-for-study,1.25,133.25
3724,Quality-checks,4.75,133.25
3724,Non-curation,0.25,133.25
3724,Quality-checks,1.0,133.25
3724,Transformation-of-data,1.0,133.25
3724,Documentation,3.5,133.25
3724,Initial-review-and-planning,3.5,133.25
3724,Documentation,4.75,133.25
3724,Initial-review-and-planning,1.5,133.25
3724,Documentation,0.5,133.25
3724,Non-curation,1.5,133.25
3724,Transformation-of-data,4.5,133.25
3724,Transformation-of-data,3.25,133.25
3724,Quality-checks,3.5,133.25
3724,Quality-checks,1.25,133.25
3724,Quality-checks,4.5,133.25
3724,Quality-checks,0.5,133.25
3724,Initial-review-and-planning,3.0,133.25
3724,Transformation-of-data,0.75,133.25
3724,Quality-checks,0.3333333333333333,133.25
3724,Quality-checks,4.0,133.25
3724,Quality-checks,3.0,133.25
3724,Transformation-of-data,4.25,133.25
3724,Quality-checks,4.0,133.25
3724,Quality-checks,1.5,133.25
3724,Quality-checks,1.0,133.25
3724,Non-curation,2.0,133.25
7048,Transformation-of-data,6.0,132.35
7048,Quality-checks,4.0,132.35
7048,Transformation-of-data,6.25,132.35
7048,Documentation,5.5,132.35
7048,Quality-checks,5.0,132.35
7048,Quality-checks,3.0,132.35
7048,Quality-checks,4.5,132.35
7048,Quality-checks,1.0,132.35
7048,Quality-checks,6.2,132.35
7048,Initial-review-and-planning,3.0,132.35
7048,Transformation-of-data,,132.35
7048,Other,,132.35
7048,Quality-checks,,132.35
7048,Non-curation,,132.35
7048,Transformation-of-data,8.0,132.35
7048,Transformation-of-data,,132.35
7048,Non-curation,6.5,132.35
7048,Initial-review-and-planning,4.5,132.35
7048,Other,0.3333333333333333,132.35
7048,Initial-review-and-planning,1.0,132.35
7048,Initial-review-and-planning,,132.35
7048,Quality-checks,4.5,132.35
7048,Communication-for-study,0.5,132.35
7048,Initial-review-and-planning,2.0,132.35
7048,Quality-checks,,132.35
7048,Initial-review-and-planning,4.0,132.35
7048,Initial-review-and-planning,,132.35
7048,Transformation-of-data,0.0666666666666666,132.35
7048,Quality-checks,3.0,132.35
7048,Transformation-of-data,1.0,132.35
17,Transformation-of-data,1.0,49.5
17,Initial-review-and-planning,0.5,49.5
17,Transformation-of-data,2.0,49.5
17,Other,0.5,49.5
17,Quality-checks,2.0,49.5
17,Quality-checks,1.0,49.5
17,Quality-checks,2.0,49.5
17,Initial-review-and-planning,2.0,49.5
17,Transformation-of-data,2.5,49.5
17,Transformation-of-data,2.5,49.5
17,Transformation-of-data,2.0,49.5
17,Documentation,2.0,49.5
17,Transformation-of-data,2.0,49.5
17,Quality-checks,2.0,49.5
17,Other,2.0,49.5
17,Communication-for-study,4.5,49.5
17,Metadata-study-level,2.0,49.5
17,Transformation-of-data,2.0,49.5
17,Transformation-of-data,1.0,49.5
20022,Initial-review-and-planning,0.25,37.75
20022,Quality-checks,0.5,37.75
20541,Metadata-study-level,1.5,124.0
20541,Quality-checks,8.0,124.0
20541,Quality-checks,5.0,64.5
20541,Quality-checks,5.0,64.5
20541,Initial-review-and-planning,2.0,124.0
20541,Initial-review-and-planning,8.0,64.5
20541,Initial-review-and-planning,4.0,124.0
20541,Quality-checks,,64.5
20541,Quality-checks,3.0,64.5
20541,Initial-review-and-planning,8.0,64.5
20541,Quality-checks,4.0,124.0
20541,Quality-checks,7.0,124.0
20541,Documentation,1.0,64.5
20541,Communication-for-study,1.5,64.5
20541,Other,6.5,124.0
20541,Transformation-of-data,,64.5
20541,Documentation,3.0,64.5
20541,Non-curation,4.0,124.0
20541,Non-curation,1.0,124.0
20541,Non-curation,4.0,124.0
20541,Initial-review-and-planning,8.0,124.0
20541,Documentation,5.5,124.0
20541,Quality-checks,2.5,124.0
20541,Quality-checks,1.0,124.0
20541,Quality-checks,0.5,64.5
20541,Quality-checks,1.0,64.5
20541,Quality-checks,3.0,64.5
20541,Metadata-study-level,4.0,75.0
20541,Communication-for-study,5.0,124.0
20541,Quality-checks,4.0,124.0
20541,Non-curation,1.0,124.0
20541,Quality-checks,8.0,124.0
20541,Quality-checks,1.5,124.0
20541,Non-curation,2.0,124.0
20541,Non-curation,4.0,124.0
20541,Initial-review-and-planning,7.0,64.5
20541,Quality-checks,2.5,124.0
20541,Other,2.0,64.5
20541,Non-curation,0.5,124.0
20541,Non-curation,1.0,124.0
20541,Non-curation,0.5,124.0
20541,Quality-checks,4.0,124.0
20541,Initial-review-and-planning,8.0,64.5
20541,Non-curation,1.0,124.0
20541,Non-curation,1.0,124.0
20541,Other,2.0,124.0
20541,Non-curation,3.0,124.0
20541,Quality-checks,2.0,124.0
20541,Quality-checks,2.0,124.0
20541,Non-curation,2.0,124.0
20541,Communication-for-study,1.0,124.0
20541,Non-curation,3.0,124.0
20541,Transformation-of-data,8.0,124.0
20541,Documentation,3.0,124.0
21600,Documentation,1.5,9.0
21600,Quality-checks,0.5,9.0
21600,Quality-checks,,9.0
21600,Quality-checks,0.5,9.0
21600,Documentation,1.5,9.0
21600,Documentation,3.5,9.0
21600,Quality-checks,1.0,9.0
22100,Initial-review-and-planning,,60.5
22100,Quality-checks,4.5,60.5
22100,Documentation,2.5,60.5
22100,Non-curation,0.5,60.5
22100,Documentation,,60.5
22100,Quality-checks,1.0,60.5
22100,Initial-review-and-planning,7.0,60.5
22100,Quality-checks,,60.5
22100,Quality-checks,1.5,60.5
22100,Initial-review-and-planning,7.0,60.5
22100,Initial-review-and-planning,,60.5
22100,Non-curation,,60.5
22100,Non-curation,2.5,60.5
22100,Communication-for-study,6.0,60.5
22100,Non-curation,0.5,60.5
22100,Quality-checks,3.0,60.5
22100,Quality-checks,1.5,60.5
22100,Transformation-of-data,2.5,60.5
22100,Transformation-of-data,7.0,60.5
22626,Quality-checks,0.0833333333333333,2.5
22626,Communication-for-study,0.5,2.5
22626,Quality-checks,0.1666666666666666,2.5
22626,Initial-review-and-planning,1.0,2.5
22626,Quality-checks,0.5,2.5
22626,Quality-checks,,2.5
22760,Metadata-study-level,0.5,0.5
23420,Transformation-of-data,4.0,84.0
23420,Non-curation,8.0,84.0
23420,Quality-checks,5.0,84.0
23420,Communication-for-study,3.0,84.0
23420,Initial-review-and-planning,0.5,84.0
23420,Documentation,3.0,84.0
23420,Documentation,7.0,84.0
23420,Initial-review-and-planning,5.0,84.0
23420,Documentation,6.5,84.0
23420,Communication-for-study,5.5,90.5
23420,Non-curation,3.5,84.0
23420,Transformation-of-data,8.0,84.0
23420,Quality-checks,1.0,90.5
23420,Communication-for-study,4.0,84.0
23420,Quality-checks,7.5,84.0
23420,Non-curation,8.0,84.0
23420,Documentation,3.0,84.0
23420,Documentation,8.0,84.0
2420,Initial-review-and-planning,1.0,30.5
2420,Transformation-of-data,1.0,30.5
2420,Quality-checks,4.0,30.5
2420,Non-curation,2.0,30.5
2420,Initial-review-and-planning,8.0,30.5
2420,Transformation-of-data,1.0,30.5
2420,Quality-checks,1.0,30.5
2420,Initial-review-and-planning,6.5,30.5
2420,Communication-for-study,3.5,30.5
2420,Quality-checks,2.5,30.5
24642,Quality-checks,2.0,2.0
26343,Quality-checks,1.0,149.0
26343,Quality-checks,6.0,149.0
26343,Quality-checks,4.5,149.0
26343,Quality-checks,1.0,149.0
26343,Quality-checks,3.0,149.0
26343,Quality-checks,0.5,149.0
26343,Quality-checks,0.5,149.0
26343,Quality-checks,2.0,149.0
26343,Documentation,8.5,149.0
26343,Communication-for-study,8.5,149.0
26343,Transformation-of-data,8.5,149.0
26343,Non-curation,7.5,149.0
26343,Non-curation,1.5,149.0
26343,Quality-checks,3.5,149.0
26343,Quality-checks,2.0,149.0
26343,Quality-checks,0.5,149.0
26343,Transformation-of-data,4.0,149.0
26343,Quality-checks,8.0,149.0
26343,Quality-checks,3.0,149.0
26343,Initial-review-and-planning,0.5,149.0
26343,Transformation-of-data,9.5,149.0
26343,Quality-checks,3.0,149.0
26343,Transformation-of-data,6.0,149.0
26343,Quality-checks,0.5,149.0
26343,Transformation-of-data,7.5,149.0
26343,Documentation,6.0,149.0
26343,Quality-checks,1.5,149.0
26343,Quality-checks,1.0,149.0
26343,Transformation-of-data,5.5,149.0
26343,Initial-review-and-planning,8.5,149.0
26343,Quality-checks,8.5,149.0
26343,Transformation-of-data,8.5,149.0
26343,Metadata-study-level,8.5,149.0
26722,Quality-checks,8.5,116.5
26722,Other,0.5,116.5
26722,Quality-checks,8.5,116.5
26722,Quality-checks,,116.5
26722,Quality-checks,6.0,116.5
26722,Quality-checks,5.5,116.5
26722,Quality-checks,4.5,116.5
26722,Quality-checks,8.5,116.5
26722,Quality-checks,2.5,116.5
26722,Quality-checks,0.5,116.5
26722,Non-curation,,116.5
26722,Initial-review-and-planning,,116.5
26722,Initial-review-and-planning,,116.5
26722,Quality-checks,2.5,116.5
26722,Transformation-of-data,7.0,116.5
26722,Quality-checks,8.5,116.5
26722,Quality-checks,,116.5
26722,Metadata-study-level,,116.5
26722,Transformation-of-data,,116.5
26722,Non-curation,,116.5
26722,Quality-checks,1.0,116.5
26722,Non-curation,3.5,116.5
26722,Transformation-of-data,1.5,116.5
26722,Quality-checks,8.5,116.5
26722,Initial-review-and-planning,,116.5
26722,Initial-review-and-planning,1.0,116.5
26962,Non-curation,4.0,11.0
26962,Transformation-of-data,4.0,11.0
27001,Quality-checks,1.1666666666666667,29.0
27001,Quality-checks,3.0,29.0
27001,Non-curation,,29.0
27001,Documentation,1.5833333333333333,29.0
27001,Documentation,2.9166666666666665,29.0
27001,Initial-review-and-planning,,29.0
27001,Documentation,0.1666666666666666,29.0
27001,Quality-checks,0.5833333333333334,29.0
27001,Quality-checks,0.6666666666666666,29.0
27001,Transformation-of-data,1.8333333333333333,29.0
27001,Initial-review-and-planning,1.0,29.0
27001,Quality-checks,0.5,29.0
27001,Initial-review-and-planning,1.5,29.0
27001,Documentation,3.75,29.0
27001,Communication-for-study,1.5,29.0
27001,Quality-checks,2.6666666666666665,29.0
27001,Non-curation,1.0,29.0
27001,Documentation,0.5,29.0
27001,Initial-review-and-planning,0.5,29.0
27001,Non-curation,1.6666666666666667,29.0
2760,Initial-review-and-planning,7.5,38.0
2760,Initial-review-and-planning,8.0,16.5
2760,Metadata-study-level,,145.5
2760,Quality-checks,,145.5
2760,Quality-checks,0.5,38.0
2760,Transformation-of-data,8.0,38.0
2760,Quality-checks,0.5,7.5
2760,Quality-checks,4.0,145.5
2760,Initial-review-and-planning,3.0,145.5
2760,Transformation-of-data,,145.5
2760,Transformation-of-data,8.5,145.5
2760,Quality-checks,5.5,38.0
2760,Transformation-of-data,2.0,16.5
2760,Documentation,3.5,38.0
2760,Quality-checks,0.5,38.0
2760,Quality-checks,2.5,16.5
2760,Quality-checks,0.5,38.0
2760,Transformation-of-data,3.0,38.0
2760,Quality-checks,2.0,145.5
2760,Metadata-study-level,,145.5
2760,Communication-for-study,1.0,16.5
2760,Other,1.5,16.5
2760,Quality-checks,0.5,38.0
2760,Quality-checks,1.5,16.5
2760,Communication-for-study,1.0,38.0
2760,Quality-checks,1.0,38.0
2760,Non-curation,4.0,145.5
2760,Non-curation,8.0,145.5
2760,Non-curation,,145.5
2760,Quality-checks,,38.0
2760,Quality-checks,,145.5
2760,Initial-review-and-planning,1.0,145.5
2760,Quality-checks,1.5,38.0
2760,Transformation-of-data,1.5,145.5
2760,Metadata-study-level,7.0,145.5
2760,Quality-checks,5.0,145.5
2760,Initial-review-and-planning,0.5,38.0
2760,Metadata-study-level,,145.5
2760,Quality-checks,,145.5
2760,Quality-checks,4.0,145.5
2760,Quality-checks,2.5,38.0
2760,Transformation-of-data,8.0,145.5
2760,Quality-checks,1.0,38.0
2760,Quality-checks,3.5,145.5
2760,Quality-checks,,145.5
2760,Quality-checks,0.5,38.0
2760,Transformation-of-data,,145.5
2760,Transformation-of-data,,145.5
2760,Quality-checks,1.0,145.5
2760,Quality-checks,1.0,145.5
2760,Quality-checks,,145.5
2760,Quality-checks,1.0,145.5
2760,Quality-checks,7.0,145.5
2760,Documentation,7.5,145.5
2760,Quality-checks,,145.5
27869,Non-curation,2.0,28.75
27869,Quality-checks,,28.75
27869,Initial-review-and-planning,2.0,28.75
27869,Quality-checks,3.0,28.75
27869,Initial-review-and-planning,,28.75
27869,Non-curation,,28.75
27869,Quality-checks,,28.75
27869,Documentation,1.5,28.75
27869,Metadata-study-level,3.25,28.75
28683,Quality-checks,3.0,67.0
28683,Communication-for-study,8.0,67.0
28683,Quality-checks,1.5,67.0
28683,Transformation-of-data,8.0,67.0
28683,Quality-checks,1.5,67.0
28683,Non-curation,8.0,67.0
28683,Initial-review-and-planning,8.0,67.0
28683,Transformation-of-data,8.0,67.0
28683,Quality-checks,3.0,67.0
28683,Quality-checks,2.0,67.0
28683,Other,1.0,67.0
28683,Other,3.0,67.0
28683,Documentation,1.5,67.0
28683,Quality-checks,1.5,67.0
28683,Quality-checks,8.0,67.0
28683,Quality-checks,1.0,67.0
28762,Initial-review-and-planning,1.0,211.58333333333331
28762,Quality-checks,4.0,211.58333333333331
28762,Transformation-of-data,,211.58333333333331
28762,Transformation-of-data,,54.8
28762,Metadata-study-level,1.0,211.58333333333331
28762,Transformation-of-data,1.0,211.58333333333331
28762,Transformation-of-data,8.0,211.58333333333331
28762,Quality-checks,0.0833333333333333,211.58333333333331
28762,Other,0.5,211.58333333333331
28762,Quality-checks,6.0,211.58333333333331
28762,Initial-review-and-planning,8.0,211.58333333333331
28762,Non-curation,,211.58333333333331
28762,Non-curation,4.5,211.58333333333331
28762,Non-curation,8.0,211.58333333333331
28762,Quality-checks,2.0,211.58333333333331
28762,Documentation,5.0,211.58333333333331
28762,Initial-review-and-planning,0.5,211.58333333333331
28762,Non-curation,1.5,211.58333333333331
28762,Initial-review-and-planning,1.0,211.58333333333331
28762,Non-curation,1.5,211.58333333333331
28762,Non-curation,8.0,211.58333333333331
28762,Quality-checks,6.5,211.58333333333331
28762,Quality-checks,0.5,211.58333333333331
28762,Non-curation,8.0,211.58333333333331
28762,Quality-checks,3.0,211.58333333333331
28762,Communication-for-study,0.5,211.58333333333331
28762,Non-curation,1.0,211.58333333333331
28762,Non-curation,1.0,211.58333333333331
28762,Non-curation,,211.58333333333331
28762,Non-curation,8.0,211.58333333333331
28762,Communication-for-study,1.0,211.58333333333331
28762,Transformation-of-data,1.0,54.8
28762,Communication-for-study,8.0,211.58333333333331
28762,Non-curation,,211.58333333333331
28762,Transformation-of-data,8.0,211.58333333333331
28762,Non-curation,8.0,211.58333333333331
28762,Initial-review-and-planning,1.0,54.8
28762,Quality-checks,3.0,211.58333333333331
28762,Quality-checks,0.5,54.8
28762,Communication-for-study,0.5,54.8
28762,Documentation,5.0,54.8
28762,Documentation,2.0,211.58333333333331
28762,Transformation-of-data,0.5,54.8
28762,Non-curation,8.0,211.58333333333331
28762,Transformation-of-data,8.0,211.58333333333331
28762,Non-curation,,211.58333333333331
28762,Non-curation,1.5,211.58333333333331
28762,Initial-review-and-planning,8.0,54.8
28762,Quality-checks,6.5,211.58333333333331
28762,Initial-review-and-planning,2.0,211.58333333333331
28762,Quality-checks,7.0,211.58333333333331
28762,Documentation,3.0,211.58333333333331
28762,Non-curation,1.5,211.58333333333331
28762,Non-curation,,54.8
28762,Quality-checks,8.0,54.8
28762,Quality-checks,0.5,54.8
28762,Quality-checks,6.5,211.58333333333331
28762,Quality-checks,1.5,211.58333333333331
28762,Initial-review-and-planning,,54.8
28762,Quality-checks,,54.8
28762,Quality-checks,1.5,54.8
28762,Quality-checks,6.0,211.58333333333331
28762,Transformation-of-data,0.3,54.8
28762,Quality-checks,,54.8
28762,Initial-review-and-planning,2.0,54.8
28762,Non-curation,8.0,211.58333333333331
28762,Initial-review-and-planning,8.0,211.58333333333331
28762,Transformation-of-data,8.0,54.8
28762,Initial-review-and-planning,0.5,54.8
28762,Non-curation,2.0,54.8
2877,Initial-review-and-planning,,21.0
2877,Quality-checks,4.0,21.0
2877,Quality-checks,2.0,21.0
2877,Quality-checks,,21.0
2877,Non-curation,0.5,21.0
2877,Communication-for-study,4.0,21.0
2877,Quality-checks,2.0,21.0
2877,Non-curation,,21.0
2877,Documentation,,21.0
29062,Other,4.0,7.5
29062,Transformation-of-data,3.5,7.5
29221,Non-curation,1.0,240.5
29221,Non-curation,,240.5
29221,Quality-checks,2.0,240.5
29221,Quality-checks,8.0,240.5
29221,Non-curation,2.5,240.5
29221,Quality-checks,0.5,240.5
29221,Non-curation,8.0,240.5
29221,Quality-checks,1.5,62.0
29221,Non-curation,8.0,240.5
29221,Non-curation,8.0,240.5
29221,Quality-checks,8.0,240.5
29221,Non-curation,,240.5
29221,Non-curation,8.0,240.5
29221,Communication-for-study,,240.5
29221,Quality-checks,1.5,240.5
29221,Initial-review-and-planning,8.0,62.0
29221,Quality-checks,4.0,62.0
29221,Non-curation,8.0,240.5
29221,Quality-checks,8.0,240.5
29221,Initial-review-and-planning,1.0,240.5
29221,Non-curation,8.0,240.5
29221,Metadata-study-level,1.0,240.5
29221,Metadata-study-level,0.5,240.5
29221,Non-curation,1.5,240.5
29221,Other,2.0,240.5
29221,Non-curation,8.0,240.5
29221,Communication-for-study,8.0,240.5
29221,Non-curation,1.5,240.5
29221,Transformation-of-data,7.0,240.5
29221,Non-curation,8.0,240.5
29221,Non-curation,,240.5
29221,Transformation-of-data,8.0,62.0
29221,Quality-checks,4.0,62.0
29221,Quality-checks,5.0,240.5
29221,Non-curation,8.0,240.5
29221,Non-curation,8.0,240.5
29221,Initial-review-and-planning,1.5,240.5
29221,Non-curation,,240.5
29221,Quality-checks,1.0,240.5
29221,Metadata-study-level,2.0,240.5
29221,Quality-checks,1.0,240.5
29221,Communication-for-study,8.0,240.5
29221,Non-curation,4.0,240.5
29221,Quality-checks,2.0,62.0
29221,Quality-checks,7.0,62.0
29221,Quality-checks,0.5,62.0
29221,Non-curation,2.0,240.5
29221,Quality-checks,6.0,240.5
29221,Non-curation,0.5,240.5
29221,Quality-checks,0.5,240.5
29221,Quality-checks,6.0,240.5
29221,Transformation-of-data,6.0,62.0
29221,Transformation-of-data,8.0,240.5
29221,Non-curation,8.0,240.5
29221,Quality-checks,2.0,240.5
